number,workTitle,workCode,alternativeTitle,creators,dealId,deliveryDate
87,WHAT'S HAPPENING,WW 010235291 00,,"Malphurs, Juaquin | Goudy, Eric Donnell | Butler, Richard Preston Jr. | Kharbouch, Karim | Nesmith, Dwayne Sirvestor | Hood, Earl Joseph",753,"Dec 16, 2013"
88,SHE LOVE HIM,WW 010235313 00,,"Nesmith, Dwayne Sirvestor | Butler, Richard Preston Jr. | Malphurs, Juaquin",753,"Dec 16, 2013"
89,I WANT IT,WW 010235315 00,,"Malphurs, Juaquin | Butler, Richard Preston Jr. | Goudy, Eric Donnell | Hood, Earl Joseph",753,"Dec 16, 2013"
90,FUCK YOU GOOD,WW 010235318 00,,"Hood, Earl Joseph | Butler, Richard Preston Jr. | Goudy, Eric Donnell | Malphurs, Juaquin",753,"Dec 16, 2013"
91,NIGHTS LIKE THIS,WW 010273184 00,,"Davis, Radric Delantic | Luellen, Joshua | Malphurs, Juaquin",753,"Feb 05, 2014"
92,TOLERATED,WW 010285636 00,,"GILLIS, GREGG MICHAEL | Mercer, Johnny | Malphurs, Juaquin | Pridgen, Leslie",753,"Dec 05, 2013"
93,RAGE THE NIGHT AWAY,WW 010285650 00,RAGE THE NIGHT AWAY     (REMIX),"Malphurs, Juaquin | Aoki, Steve | SIKORA, JOSEPH",753,"Mar 17, 2014"
94,TOO TURNT UP,WW 010334295 00,TTU,"Young, Joshua Adam | Cameruci, Curt J. | Malphurs, Juaquin | Duran, Richard Michael",753,"May 02, 2014"
95,BEAST,WW 010354806 00,,"JOHNSON, MARTINE | MARSHALL, ANDRE | Malphurs, Juaquin | MERCADO, MANUEL | Isaac, Breyan Stanley",753,"May 27, 2014"
96,SLIPPIN,WW 010355270 00,,"Williams, Michael Len | Garner, Justin Devon | Malphurs, Juaquin",753,"May 29, 2014"
97,CHICKENS,WW 010408511 00,,"HUMPHREY, RAYNFORD | Luellen, Joshua | Malphurs, Juaquin",753,"Aug 28, 2014"
98,TECHNO,WW 010413642 00,,"Malphurs, Juaquin | Pentz, Thomas Wesley",753,"Sep 09, 2014"
99,CAN'T DO GOLDS,WW 010458705 00,,"Luellen, Joshua | Malphurs, Juaquin",753,"Jan 30, 2015"
100,RUMORS,WW 010485188 00,,"Malphurs, Juaquin",753,"May 08, 2015"
101,GAME ON,WW 010495364 00,,"Malphurs, Juaquin | Furlong, Nicholas Michael | Hiott, Ben | Grigg, Allan Peter",753,"May 28, 2015"
102,I'M SORRY,WW 010524379 00,,"Unknown, Composer Author | Malphurs, Juaquin",753,"Sep 11, 2015"
103,WORKIN,WW 010534377 00,,"Malphurs, Juaquin | YOUNGBLOOD, CHANCE",753,
104,50K,WW 010565805 00,,"Simmons, Bryan Lamar | Luellen, Joshua | Davis, Radric Delantic | Malphurs, Juaquin",753,"Jan 13, 2016"
105,ALL THESE BITCHES,WW 010565812 00,,"Wilburn, Nayvadius Demun | Malphurs, Juaquin | Luellen, Joshua",753,"Jan 13, 2016"
106,ANYTHING FROM BROKE,WW 010565829 00,,"Malphurs, Juaquin | Simmons, Bryan Lamar | Unknown, Composer Author | Luellen, Joshua | Kharbouch, Karim",753,"Jan 13, 2016"
107,BAD DECISION,WW 010565911 00,,"Malphurs, Nyquan | Malphurs, Juaquin | Luellen, Joshua | Simmons, Bryan Lamar",753,"Jan 13, 2016"
108,BROTHERS KEEPER,WW 010565912 00,,"Simmons, Bryan Lamar | Malphurs, Juaquin | Luellen, Joshua | Malphurs, Nyquan",753,"Jan 13, 2016"
109,BAND POP,WW 010565917 00,,"Luellen, Joshua | HAMILTON, MARIO | Malphurs, Juaquin",753,"Jan 13, 2016"
110,BMW,WW 010565945 00,,"HAMILTON, MARIO | Malphurs, Juaquin | Luellen, Joshua",753,"Jan 13, 2016"
111,BLINDSIDE,WW 010565946 00,,"Malphurs, Juaquin | Luellen, Joshua | HAMILTON, MARIO",753,"Jan 13, 2016"
112,DROP IT GIRL,WW 010565947 00,,"HAMILTON, MARIO | Luellen, Joshua | Malphurs, Juaquin",753,"Jan 13, 2016"
113,FRESH AS F***,WW 010565948 00,,"Malphurs, Juaquin | HAMILTON, MARIO | Luellen, Joshua",753,"Jan 13, 2016"
114,LET ME SEE YOU DO IT,WW 010565949 00,,"Malphurs, Juaquin | Luellen, Joshua | HAMILTON, MARIO",753,"Jan 13, 2016"
115,RIP,WW 010565950 00,,"HAMILTON, MARIO | Malphurs, Juaquin | Luellen, Joshua",753,"Jan 13, 2016"
116,BRICK SQUAD MONOPOLY,WW 010565954 00,,"Luellen, Joshua | Malphurs, Juaquin",753,"Jan 13, 2016"
117,COCAINE RUNNERS,WW 010568875 00,,"Luellen, Joshua | Malphurs, Juaquin",753,"Jan 13, 2016"
118,COLLEGE GIRL,WW 010568877 00,,"Luellen, Joshua | Malphurs, Juaquin",753,"Jan 13, 2016"
119,CROWD,WW 010568878 00,,"Malphurs, Juaquin | Luellen, Joshua",753,"Jan 13, 2016"
120,J. WELL,WW 010568879 00,,"Luellen, Joshua | Malphurs, Juaquin",753,"Jan 13, 2016"
121,JAW,WW 010568880 00,,"Malphurs, Juaquin | Luellen, Joshua",753,"Jan 13, 2016"
122,KILL THE PARKIN LOT,WW 010568881 00,,"Malphurs, Juaquin | Luellen, Joshua",753,"Jan 13, 2016"
123,LOCK & LOAD,WW 010568882 00,,"Malphurs, Juaquin | Luellen, Joshua",753,"Jan 13, 2016"
124,MURDA,WW 010568883 00,,"Luellen, Joshua | Malphurs, Juaquin",753,"Jan 13, 2016"
125,NIK AFTER NIK,WW 010568884 00,,"Luellen, Joshua | Malphurs, Juaquin",753,"Jan 13, 2016"
126,SPAZZ OUT,WW 010568885 00,,"Malphurs, Juaquin | Luellen, Joshua",753,"Jan 13, 2016"
127,TWEAKIN,WW 010568886 00,,"Luellen, Joshua | Malphurs, Juaquin",753,"Jan 13, 2016"
128,WATCH MY POWER SPREAD,WW 010568887 00,,"Malphurs, Juaquin | Luellen, Joshua",753,"Jan 13, 2016"
129,DEATH OF ME,WW 010568908 00,,"Luellen, Joshua | Malphurs, Juaquin",753,"Jan 13, 2016"
130,PUSSY,WW 010569260 00,,"Luellen, Joshua | Simmons, Bryan Lamar | Malphurs, Juaquin",753,"Jan 13, 2016"
131,TURNT,WW 010569271 00,,"Luellen, Joshua | Malphurs, Juaquin | Johnson Jr, Jeffrey | Akintimehin, Olubowale Victor",753,"Jan 13, 2016"
132,ZIP EM UP,WW 010569277 00,,"Luellen, Joshua | Malphurs, Juaquin | Malphurs, Nyquan",753,"Jan 13, 2016"
133,EXOTIC,WW 015020961 00,,"Balshe, Ahmad | Mays, Carlton | Malphurs, Juaquin",753,"Sep 19, 2016"
134,SHIT WHERE YOU SLEEP,WW 015022511 00,,"Malphurs, Juaquin | Luellen, Joshua | McColister, Antoine",753,"Sep 29, 2016"
135,TTU (TOO TURNT UP),WW 015023340 00,,"Olovsdotter, Ellinor Salome Miranda | Young, Joshua Adam | Khan, Valentino | Malphurs, Juaquin | Cameruci, Curt J. | Duran, Richard Michael",753,"Oct 06, 2016"
136,BIG DAWG,WW 015025112 00,,"Tennon, Genzel | Malphurs, Juaquin",753,"Oct 21, 2016"
137,BACK AGAIN,WW 015047950 00,,"Malphurs, Juaquin | Unknown, Composer Author",753,"Feb 28, 2017"
138,RUN CITIES,WW 015049577 00,,"Malphurs, Juaquin | UNKNOWN COMPOSER,",753,"Mar 31, 2017"
139,SHOTS FIRED,WW 015068484 00,,"Malphurs, Juaquin | Cameruci, Curt J.",753,"Jun 20, 2017"
140,TRAP CITY,WW 015087092 00,,"Henry, Troy | Malphurs, Juaquin | Cameruci, Curt J.",753,"Sep 08, 2017"
141,RUN DOWN,WW 015167708 00,,"Murray, Edward Rameer | MOSTAFA, ISAM | Malphurs, Juaquin",753,"Aug 04, 2018"
142,ELBOWS,WW 015178644 00,,"Amaris, Daniel | Proby, Glenda | Hardeman, Javier | Macopson, Khalifah | Simmons, Bobby Ray | BOLDEN, STEVEN SHARIEF | DE LOS SANTOS, DIANA | Malphurs, Juaquin | Perez, Jorge | HODGE, WILLIAM ALLEN JR. | Gonzalez, Daniela",753,"Sep 13, 2018"
143,CHILL BABY,WW 015201745 00,,"Avery, Dwan LeCurtis Jaquan | Malphurs, Juaquin",753,"Nov 12, 2018"
144,FLAVA,WW 015270072 00,,"Lewis, Lexus | Malphurs, Juaquin",753,"Jun 06, 2019"
145,ON A PLATE,WW 015270073 00,,"Lewis, Lexus | Malphurs, Juaquin",753,"Jun 06, 2019"
146,PADDY KAKE (FEAT. KRAZY BLACX & LOUDIENE),WW 015270074 00,,"Malphurs, Juaquin | Lewis, Lexus",753,"Jun 06, 2019"
147,CLIENTELE,WW 015270075 00,,"Malphurs, Juaquin | Tennon, Genzel | Luellen, Joshua | Earle, Eduardo",753,"Jun 06, 2019"
148,WHAT U MOVIN,WW 015270077 00,,"Malphurs, Juaquin | Rockets, Jimmy",753,"Jun 06, 2019"
149,SINNING,WW 015270082 00,,"Malphurs, Juaquin",753,"Jun 06, 2019"
150,I DON'T NEED YA,WW 015270083 00,,"Malphurs, Juaquin | Purnell, Kevin Markees | Antoni, Dominik",753,"Jun 06, 2019"
151,AIN'T GON HAVE THAT,WW 015270084 00,,"SPEEDY,. | Malphurs, Juaquin | BC,.",753,"Jun 06, 2019"
152,CHRIS PAUL JOHN WALL,WW 015270085 00,,"Luciano, Leiffy | Malphurs, Juaquin | Rocket, Jimmy",753,"Jun 06, 2019"
153,WALL,WW 015270086 00,,"Malphurs, Juaquin | Unknown, Composer Author",753,"Jun 06, 2019"
154,DOWN BAD,WW 015270087 00,,"DUBB, J | Smith, Torey | Malphurs, Juaquin",753,"Jun 06, 2019"
155,PRIZE,WW 015270088 00,,"Malphurs, Juaquin | Rockets, Jimmy",753,"Jun 06, 2019"
156,SMOKER,WW 015270090 00,,"Malphurs, Juaquin",753,"Jun 06, 2019"
157,SNAKES,WW 015270092 00,,"Malphurs, Juaquin",753,"Jun 06, 2019"
158,I PRAY,WW 015270095 00,,"Malphurs, Juaquin | Rockets, Jimmy",753,"Jun 06, 2019"
159,WALL,WW 015270097 00,,"Malphurs, Juaquin | Unknown, Composer Author",753,"Jun 06, 2019"
160,WALL,WW 015270107 00,,"Malphurs, Juaquin | Unknown, Composer Author",753,"Jun 06, 2019"
161,"CHOPPAS, BREETTAS & GLOCKS",WW 015270117 00,,"Unknown, Composer Author | Malphurs, Juaquin",753,"Jun 06, 2019"
162,WELL PROTECTED,WW 015270118 00,,"Malphurs, Juaquin | Unknown, Composer Author | Smith, Torey",753,"Jun 06, 2019"
163,CHEF CURRY,WW 015270119 00,,"Tennon, Genzel | Malphurs, Juaquin",753,"Jun 06, 2019"
164,Y & R,WW 015270120 00,,"Tennon, Genzel | Malphurs, Juaquin",753,"Jun 06, 2019"
165,COLD HEARTED  KILLAS,WW 015270121 00,,"Unknown, Composer Author | Malphurs, Juaquin",753,"Jun 06, 2019"
166,21,WW 015270122 00,,"Tennon, Genzel | Malphurs, Juaquin",753,"Jun 06, 2019"
167,NO DOUBT ABOUT IT,WW 015270126 00,,"Malphurs, Juaquin",753,"Jun 06, 2019"
168,Y & R,WW 015270127 00,,"Malphurs, Juaquin | Unknown, Composer Author",753,"Jun 06, 2019"
169,Y & R,WW 015270134 00,,"Unknown, Composer Author | Malphurs, Juaquin",753,"Jun 06, 2019"
170,MIAMI PARTY,WW 015360585 00,,"DIAZ, LUIS | Garcia, Jose Carlos | Lazaro, Alfred David | Voutsinas, Nicholas | Marcus, David A.",753,"Jan 31, 2020"
171,TRAP HARDER,WW 015468103 00,,"Lewis, Lexus | Malphurs, Juaquin",753,"Nov 17, 2020"
172,LET'S DO IT,WW 015479959 00,,"Carter, Dwayne",753,"Dec 10, 2020"
173,TO THE FLOOR,WW 015556048 00,,"Van De Wall, Nick L. | SACHELI, JULIAN ALEXANDER | Beato, Ian",753,"Jun 25, 2021"
174,NOT AT ALL,WW 015594869 00,,"Osher, Jacob Charles | STAFFORD, CHRIS | Malphurs, Juaquin | STAFFORD, MATT",753,"Sep 07, 2021"
175,GROVE PARTY,WW 015636509 00,,"Unknown, Composer Author | Carter, Dwayne",753,"Jan 04, 2022"
176,FELL,WW 015833734 00,,"Davis, Radric Delantic | Malphurs, Juaquin | Williams, Jeffery Lamar | Lewis, Lexus",753,"Apr 12, 2023"
177,ISSA PARTY,WW 015903128 00,,"Clemons, Darryl Lorenzo | Wilson, DelQuristo | STEPHENS, ALYSSA MICHELLE | Hammers, Randall Avery | LUMPKINS, TOMMY | Price, Kevin Andre",753,"Sep 26, 2023"
178,O LET'S DO IT FEAT. CAP,WW 015947078 00,,"Scott, Tarrez | JONES, COREY | Malphurs, Juaquin | WINTERS, DONOVAN",753,"Jan 17, 2024"
179,NON TITLE BOUND MLC INCOME CARTER AND MALPHURS,WW 015959525 00,STAY HOOD,"Malphurs, Juaquin | Carter, Dwayne",753,"Feb 09, 2024"
180,NON TITLE BOUND MLC INCOME MALPHURS,WW 015960759 00,3O ROUND CLIP | 8-0 | BALLIN OUT | BLUE OR RED | LEHHHGOOO | MAKE THAT ASS CLAP | S.T.F.U. | SALVE SHIP | SCARS ON MY FEET | TURN IT TO A RAVE | TURN UP GOD | TURN UP GOD (INTRO) | WET WET | YOUNG MONEY BRICK SQUAD,"Malphurs, Juaquin",753,"Feb 13, 2024"
181,FTCU,WW 015973818 00,,"Maraj, Onika Tanya | Malphurs, Juaquin | Luellen, Joshua | CANADY, JACOB",753,"Mar 07, 2024"
